timestamp,label,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
4.241135,Stairs Up,0.148315,-0.539444,-0.661621,-0.071755,0.255019,0.329325
4.26479,Stairs Up,0.163727,-0.567383,-0.649033,-0.173796,0.196747,0.328515
4.282029,Stairs Up,0.164474,-0.544052,-0.717834,-0.173796,0.196747,0.328515
4.301081,Stairs Up,0.141708,-0.530014,-0.831039,-0.053828,0.324836,0.380565
4.321122,Stairs Up,0.133347,-0.554504,-0.885696,4e-05,0.323019,0.351977
4.341087,Stairs Up,0.132401,-0.584579,-0.868332,-0.032644,0.281786,0.324468
4.365024,Stairs Up,0.142609,-0.604553,-0.848938,-0.150311,0.176708,0.335816
4.38282,Stairs Up,0.151199,-0.613358,-0.846909,-0.150311,0.176708,0.335816
4.40107,Stairs Up,0.136581,-0.630615,-0.917267,-0.216965,0.087731,0.458709
4.421121,Stairs Up,0.093201,-0.672714,-0.948395,-0.206539,-0.073603,0.379065
4.441119,Stairs Up,0.030106,-0.709,-0.940948,-0.180326,0.004145,0.224532
4.465027,Stairs Up,-0.040024,-0.698929,-0.973038,-0.298132,0.020906,0.026062
4.483387,Stairs Up,-0.049561,-0.682663,-0.891357,-0.589317,-0.132522,-0.116744
4.501123,Stairs Up,-0.013565,-0.667374,-0.812683,-0.932053,-0.408143,-0.137293
4.521117,Stairs Up,-0.036987,-0.579422,-0.866272,-1.007522,-0.445723,-0.079218
4.540936,Stairs Up,-0.083954,-0.499634,-1.079529,-0.632998,-0.144001,-0.001016
4.564284,Stairs Up,-0.109894,-0.42894,-1.204575,-0.112601,-0.293412,0.084536
4.582758,Stairs Up,-0.070419,-0.426682,-1.054596,0.139727,-0.788279,0.133209
4.60031,Stairs Up,-0.095291,-0.433548,-0.908798,0.054546,-0.81928,0.136288
4.6206,Stairs Up,-0.161026,-0.446411,-0.939957,-0.115975,-0.525663,0.084395
4.64041,Stairs Up,-0.197113,-0.458145,-0.984299,-0.056042,-0.2904,0.00691
4.665932,Stairs Up,-0.174393,-0.445175,-0.953323,0.135874,-0.367252,-0.05413
